,tweet_id,created_at,favorite_count,retweet_count,stage,name,ratings,url,text,jpg_url,img_num,breed
0,892420643555336193,2017-08-01 16:23:56,35855,7593,unknown,Phineas,13/10,https://t.co/MgUWQ76dJU,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,unknown
1,892177421306343426,2017-08-01 00:17:27,30938,5626,unknown,Tilly,13/10,https://t.co/0Xxu71qeIV,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua
2,891815181378084864,2017-07-31 00:18:03,23282,3720,unknown,Archie,12/10,https://t.co/wUnZnhtVJB,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua
3,891689557279858688,2017-07-30 15:58:51,39123,7772,unknown,Darla,13/10,https://t.co/tD36da7qLQ,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Labrador_retriever
4,891327558926688256,2017-07-29 16:00:24,37380,8368,unknown,Franklin,12/10,https://t.co/AtUZn91f7f,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset
5,891087950875897856,2017-07-29 00:08:17,18834,2805,unknown,None,13/10,https://t.co/kQ04fDDRmh,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_retriever
6,890971913173991426,2017-07-28 16:27:12,10939,1828,unknown,Jax,13/10,https://t.co/Zr4hWfAs1H,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

 https://t.co/tVJBRMnhxl",https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller
7,890729181411237888,2017-07-28 00:22:40,60399,16978,unknown,None,13/10,https://t.co/v0nONBcwxq,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian
8,890609185150312448,2017-07-27 16:25:51,25926,3863,unknown,Zoey,13/10,https://t.co/9TwLuAGH0b,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier
9,890240255349198849,2017-07-26 15:59:51,29599,6610,doggo,Cassie,14/10,https://t.co/t1bfwz5S2A,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke
